LiCl,833,2
WCl6,556,1
TbCl3,855,3
HfF4,1298,20
GeBr4,299.25,0.1
SF6,222.5,1
OF2,49.3,1
MnF2,1133,4
AgF,708,2
PuCl3,1038,3
NdI2,835,10
ScF3,1825,5
VCl4,252.65,0.5
IF7,279,0
TeI4,532,3
SbBr3,369.75,0.5
ZrCl2,995,1
ZrCl4,710.15,0.5
XeF6,319,0
XeF4,387,0
XeF2,413,0
VF5,292.65,0.5
VF3,1679,15
VCl5,536,5
VCl4,252.65,0.5	
VCl2,1623,25
UI4,793,5
UI3,1061,10
UF6,337.15,0.1
UF5,621,3
UF4,1309,2
UF3,1768,20
UCl6,450.65,3
UCl3,1114,3
UBr4,792,5
UBr3,1003,5
TlCl2,505,5
TlCl,703.95,0.5
TlBr,733.2,0.5
Tl2Cl3,661,5
TiI4,428,1
TiCl4,249.05,0.01
TiBr4,311.4,0.1
ThI4,839,3
ThF4,1383,5
ThCl4,1043,2
ThBr4,952,3
TeI4,532,3
TeF6,235.5,0.5
TeF4,402.75,1
PtF6,334.45,0.5
PtF5,353,0
PaCl5,579,3
PaBr5,556,3
OsF6,306.55,1
OsF5,343,1
